geoid,state_fips,county_fips,county_name,date,year,dataset_type,ppt,tmean,tmin,tmax
17091,17,091,Kankakee,2021-01-01,2021,AN91,23.554023272884294,-1.1626538113457712,-3.1288462300216047,0.8342498217131933
17011,17,011,Bureau,2021-01-01,2021,AN91,13.19914820650357,-2.8818513268071944,-6.165626565959857,0.3674930457249708
17155,17,155,Putnam,2021-01-01,2021,AN91,12.06079975172938,-2.084089652780392,-4.559356447865968,0.16548918425840906
17099,17,099,LaSalle,2021-01-01,2021,AN91,12.36791673647649,-2.2767509829536836,-4.6984773970047256,-0.30529001277295625
17131,17,131,Mercer,2021-01-01,2021,AN91,13.074461372045223,-4.593058701171964,-8.676425146112479,-0.4660167764825803
17161,17,161,Rock Island,2021-01-01,2021,AN91,14.706426886951217,-4.566549538647453,-8.551291652918119,-0.42536667063031736
17073,17,073,Henry,2021-01-01,2021,AN91,14.501345902987168,-4.222442500382966,-8.318779604129078,-0.10103811002438917
17103,17,103,Lee,2021-01-01,2021,AN91,12.817270031469436,-3.3974261650331234,-6.875458452211427,0.14119043531419342
17195,17,195,Whiteside,2021-01-01,2021,AN91,11.935118027964709,-3.77087206381417,-7.50001012328775,-0.056515238024143245
17121,17,121,Marion,2021-01-02,2021,AN91,1.7512644401224204,0.8984190466792388,-0.052247531468691745,1.8661599233772808
17005,17,005,Bond,2021-01-02,2021,AN91,0.8200001279713225,0.2510057877541222,-0.4426407266280291,1.0138149877750129
17083,17,083,Jersey,2021-01-02,2021,AN91,0.9647815279295133,-0.8940313472429419,-1.756592528411672,-0.044338664628413585
17163,17,163,St. Clair,2021-01-02,2021,AN91,0.5529770376635972,0.32611660557593025,-0.23490247013865379,0.8990914177359576
17027,17,027,Clinton,2021-01-02,2021,AN91,0.9998216934015689,0.4696324299628162,-0.34800212934377844,1.2504755211306702
17013,17,013,Calhoun,2021-01-02,2021,AN91,1.5187844739427736,-1.1529221344827687,-2.5155110749527876,0.13014345381909898
17119,17,119,Madison,2021-01-02,2021,AN91,0.5032627237558316,0.16288279539543837,-0.38495198315355666,0.7206425163997868
17133,17,133,Monroe,2021-01-02,2021,AN91,0.5544470967598096,0.08785541889319705,-0.6242199981631089,0.8035648737527727
17117,17,117,Macoupin,2021-01-02,2021,AN91,0.9565364776930576,-0.7540572149404182,-1.413580093122164,-0.037502479636189565
17171,17,171,Scott,2021-01-02,2021,AN91,1.0471869556804263,-1.885074765194674,-3.1343943192040102,-0.6226811463246673
17137,17,137,Morgan,2021-01-02,2021,AN91,1.17749926097529,-1.6299442602323546,-2.652667038883858,-0.557486453498864
17107,17,107,Logan,2021-01-02,2021,AN91,7.563608280871915,-0.8770131047423931,-1.8018689054821508,-0.06427091000370459
17129,17,129,Menard,2021-01-02,2021,AN91,3.291343506896337,-1.355578523048916,-2.284292607144237,-0.5398317861507768
17167,17,167,Sangamon,2021-01-02,2021,AN91,5.085319136899465,-0.9761929063302934,-1.844853077333768,-0.18590136003021576
17021,17,021,Christian,2021-01-02,2021,AN91,3.696105159318659,-0.3626953244788248,-1.1746654093700173,0.4580858585857927
17127,17,127,Massac,2021-01-02,2021,AN91,2.0156524909688733,2.8142834020909837,1.1846683527354822,4.447222787261294
17057,17,057,Fulton,2021-01-02,2021,AN91,1.9252497711836956,-2.9822002131261933,-5.0620695252611165,-0.981892427337574
17175,17,175,Stark,2021-01-02,2021,AN91,3.76683886079429,-3.8810138766159206,-5.668159733230261,-1.8351202797798896
17203,17,203,Woodford,2021-01-02,2021,AN91,7.76730763331578,-1.7906919632565625,-2.856886581567013,-0.4911804533341152
17179,17,179,Tazewell,2021-01-02,2021,AN91,4.54467005823962,-1.34277132312743,-2.4091009695698467,-0.5050826571017539
