geoid,state_fips,county_fips,county_name,year,month,n_days,ppt_total,tmean_mean,tmin_mean,tmax_mean,dataset_types
17181,17,181,Union,2020,12,31,71.05502635745069,3.113882762844038,-2.2297819550359517,8.462637028743114,"AN81,AN91"
17181,17,181,Union,2021,1,31,64.71156893076174,1.944067156293924,-2.128783794906427,6.110601755656008,AN91
17181,17,181,Union,2021,2,28,108.48704087282077,-2.2822507975875044,-7.124841056768106,2.6738101297720402,AN91
17181,17,181,Union,2021,3,31,146.2209535995701,10.642331081137787,4.564217849528403,16.660481210872444,AN91
17181,17,181,Union,2021,4,30,107.03724853547467,13.657123199635942,7.767070361248675,19.647122263695184,AN91
17181,17,181,Union,2021,5,31,114.54856230338325,17.97881932828621,12.290474536037873,23.735432152104185,AN91
17181,17,181,Union,2021,6,30,104.92966982031338,24.71148055307662,19.537173455917493,29.97535204409253,AN91
17181,17,181,Union,2021,7,31,106.47651563045689,25.19240072386467,19.989818264573408,30.39512544100463,AN91
17181,17,181,Union,2021,8,31,52.31818025437305,25.505538581633775,20.105748795158895,30.905470367234408,AN91
17181,17,181,Union,2021,9,30,69.55310712779352,21.670843878237346,15.330960086061326,28.010871517106345,AN91
17181,17,181,Union,2021,10,31,121.3759721190445,17.210771128791933,11.685465760494836,22.736218362555817,AN91
17181,17,181,Union,2021,11,30,60.11056912576712,6.931948010478389,0.3296968848499068,13.534328799311114,AN91
17181,17,181,Union,2021,12,31,163.7160620483436,8.882172986154462,3.3155035565777293,14.448971714451408,AN91
17183,17,183,Vermilion,2020,1,31,122.18811767756138,0.1489727714945096,-3.3383708286628697,3.636413179218568,AN81
17183,17,183,Vermilion,2020,2,29,62.75123484177222,-0.7473557919721011,-5.053255577415223,3.558523333010017,AN81
17183,17,183,Vermilion,2020,3,31,95.14508378374475,6.237557733516595,1.4573956550092289,11.017800672203848,AN81
17183,17,183,Vermilion,2020,4,30,111.66578757818009,9.304803595430931,2.8749826380482797,15.734723460848976,AN81
17183,17,183,Vermilion,2020,5,31,117.59822876096973,15.822718622877357,10.557059559130016,21.08847655721198,AN81
17183,17,183,Vermilion,2020,6,30,124.29501850390035,23.134969290913507,17.125479801271347,29.144557352136925,AN81
17183,17,183,Vermilion,2020,7,31,167.98651062911853,24.441355765510778,18.8351456019986,30.04766658434593,AN81
17183,17,183,Vermilion,2020,8,31,36.088629858101974,21.945254241934514,15.87590728460111,28.014703261418454,AN81
17183,17,183,Vermilion,2020,9,30,46.11192896624571,18.018432256045443,11.292972620922544,24.74399374131599,AN81
17183,17,183,Vermilion,2020,10,31,63.35820598136935,11.039133086697033,4.4406229183777635,17.637743732541093,AN81
17183,17,183,Vermilion,2020,11,30,68.00221904013064,7.3456316126003465,1.3452288862740498,13.346124146154587,AN81
17183,17,183,Vermilion,2020,12,31,42.09007290111312,0.18697615200328452,-4.649581302103283,5.026898545878321,"AN81,AN91"
17183,17,183,Vermilion,2021,1,31,62.03476429383535,-1.7449182653646949,-5.030565111511778,1.6165763394306174,AN91
17183,17,183,Vermilion,2021,2,28,47.35728163967532,-6.526087145895741,-11.250776114982381,-1.7242850544027257,AN91
17183,17,183,Vermilion,2021,3,31,104.04717506010188,6.995387014786337,0.8623116374664196,13.141959657079214,AN91
17183,17,183,Vermilion,2021,4,30,52.123603612216264,11.327570194440364,4.891007417929743,17.791717047160503,AN91
17183,17,183,Vermilion,2021,5,31,109.99962467723951,16.035893353842685,10.283680689192465,21.72047667873643,AN91
17183,17,183,Vermilion,2021,6,30,249.89935663463203,23.364015565086266,17.84918380569093,28.88704100428917,AN91
17183,17,183,Vermilion,2021,7,31,94.7008656839436,22.961506577613328,17.84414173656993,28.079014973994237,AN91
17183,17,183,Vermilion,2021,8,31,83.27304744677154,24.001870471524402,18.341721847957967,29.66216079284463,AN91
17183,17,183,Vermilion,2021,9,30,89.0396741455928,20.511116691740693,13.612852090243337,27.409524281591853,AN91
17183,17,183,Vermilion,2021,10,31,185.65229047383573,15.247594150433471,10.294346951311176,20.20098317161019,AN91
17183,17,183,Vermilion,2021,11,30,31.97520607427071,3.8498885051759646,-1.685197720122805,9.38504755290321,AN91
17183,17,183,Vermilion,2021,12,31,66.79477398753636,4.080525738557791,-0.7941485693922664,8.955276603854584,AN91
17185,17,185,Wabash,2020,1,31,160.51500659002528,2.261939522522577,-1.7717652137285917,6.296094761406009,AN81
17185,17,185,Wabash,2020,2,29,76.49368781459118,2.214665325239327,-2.4425158679004197,6.871889617238495,AN81
17185,17,185,Wabash,2020,3,31,154.90378925193866,8.66225506960244,3.533060542970523,13.791547803600421,AN81
17185,17,185,Wabash,2020,4,30,90.48959113198049,11.10415117999536,5.052643755290428,17.155759625330194,AN81
17185,17,185,Wabash,2020,5,31,114.29569964047447,17.25878184716812,12.022316072656247,22.495349874004123,AN81
17185,17,185,Wabash,2020,6,30,92.51373898915311,23.92977441819408,18.092328479458125,29.76731899389376,AN81
17185,17,185,Wabash,2020,7,31,165.53211933235545,25.789086562254674,20.1561299977927,31.42214229528151,AN81
17185,17,185,Wabash,2020,8,31,66.61920124890577,23.31296872808187,17.801454159469245,28.82458120014259,AN81
17185,17,185,Wabash,2020,9,30,17.011068568137315,19.65053988794978,12.947856657126128,26.353324488657172,AN81
17185,17,185,Wabash,2020,10,31,150.40521020322856,12.54869505471435,5.838801318145507,19.258688695368967,AN81
17185,17,185,Wabash,2020,11,30,104.75811261024873,8.71252353979898,2.5106259657214376,14.914515520070584,AN81
17185,17,185,Wabash,2020,12,31,75.24131119405595,2.1518660254197135,-2.6730238573605196,6.974680911044566,"AN81,AN91"
17185,17,185,Wabash,2021,1,31,65.92043491645666,0.5831155248661074,-3.3421523814176775,4.410688503221022,AN91
17185,17,185,Wabash,2021,2,28,95.2770041232856,-3.103727719285136,-7.838880022881471,1.5170684111620985,AN91
17185,17,185,Wabash,2021,3,31,108.10583842453974,9.410177769385953,3.1750617496322318,15.474931186455207,AN91
17185,17,185,Wabash,2021,4,30,78.94174246089851,12.842573240036407,6.596150766755912,19.01109920887458,AN91
17185,17,185,Wabash,2021,5,31,106.86899337439947,17.34385484980411,11.557576825364041,23.150128992762475,AN91
17185,17,185,Wabash,2021,6,30,169.45552138500403,23.89991324032146,18.654338915572808,29.245922542238493,AN91
17185,17,185,Wabash,2021,7,31,214.4059775479325,24.50918466115432,19.099096604834738,29.919415214264422,AN91
17185,17,185,Wabash,2021,8,31,136.4620297933744,25.26785105135459,19.833940533626436,30.701903460226184,AN91
17185,17,185,Wabash,2021,9,30,73.18410992087125,21.373165582621148,14.656942723770994,28.089532299203768,AN91
17185,17,185,Wabash,2021,10,31,153.02263047448963,16.915412216438927,11.187138632811704,22.64382662085493,AN91
17185,17,185,Wabash,2021,11,30,44.071858754661655,5.531065995871141,-0.817333328677901,11.87957195727704,AN91
17185,17,185,Wabash,2021,12,31,138.74072750731136,7.458695234488777,1.8809503218310453,13.036560148118971,AN91
17187,17,187,Warren,2020,1,31,64.49588185410761,-2.423112336180129,-6.416397838357656,1.5698763883205449,AN81
17187,17,187,Warren,2020,2,29,19.321799302983084,-2.09936523321791,-6.88255283266636,2.6837790443613887,AN81
17187,17,187,Warren,2020,3,31,63.30592855057352,5.491803120191387,0.6549415279702867,10.32875259962128,AN81
17187,17,187,Warren,2020,4,30,75.06226767870852,9.232105818188911,2.689844140416491,15.77447102367531,AN81
17187,17,187,Warren,2020,5,31,145.273170476875,15.352227090014676,10.291610326879358,20.412943117833823,AN81
17187,17,187,Warren,2020,6,30,110.6311801464087,22.796073689948862,17.120314750031362,28.471932527983558,AN81
17187,17,187,Warren,2020,7,31,106.13270540147215,24.362977486646805,19.004695177483,29.721359895512627,AN81
17187,17,187,Warren,2020,8,31,16.67401845710613,22.207633821901826,15.87783492998784,28.537533234816777,AN81
17187,17,187,Warren,2020,9,30,143.1775407111741,17.229751451132866,11.082895063477048,23.37670703521101,AN81
17187,17,187,Warren,2020,10,31,39.60280292518307,9.37903727363821,3.4818069606286515,15.276369231081114,AN81
17187,17,187,Warren,2020,11,30,60.04650567212356,6.868780291306275,0.9494601385235176,12.78818483534534,AN81
17187,17,187,Warren,2020,12,31,54.20469997205832,-1.0862623184700269,-5.933776605078067,3.7629654008615665,"AN81,AN91"
17187,17,187,Warren,2021,1,31,42.45373537872405,-3.404329155341074,-6.838819432112161,0.045181435451766436,AN91
17187,17,187,Warren,2021,2,28,29.717615592473692,-8.768464014339694,-13.038544310940456,-4.432249090697375,AN91
17187,17,187,Warren,2021,3,31,85.44517890288425,6.402001453256929,0.6575957873549789,12.120861391193191,AN91
17187,17,187,Warren,2021,4,30,116.15503875035627,10.626521422321924,4.648815507248613,16.590106265422815,AN91
17187,17,187,Warren,2021,5,31,173.84799238425302,15.408918891066278,10.325397977003938,20.46708006184499,AN91
17187,17,187,Warren,2021,6,30,174.32837612430885,23.003461966536026,17.46038043746437,28.554752186518265,AN91
17187,17,187,Warren,2021,7,31,112.85903831776085,22.806511255570626,17.799543737501377,27.813620864081084,AN91
17187,17,187,Warren,2021,8,31,111.48519845951841,23.359338811921187,17.640421352139256,29.07839870890806,AN91
17187,17,187,Warren,2021,9,30,40.780388584525625,20.254066793417266,13.237046601019587,27.271231389377355,AN91
17187,17,187,Warren,2021,10,31,178.2344701776388,14.036618773753357,9.026199433126243,19.0471791573751,AN91
17187,17,187,Warren,2021,11,30,7.478461738176869,4.119112974421289,-1.6516815468459005,9.889987865925749,AN91
17187,17,187,Warren,2021,12,31,24.4716791765645,2.2393344224555363,-3.3278304413849984,7.806533960821525,AN91
17189,17,189,Washington,2020,1,31,156.7661645846058,1.993849434011292,-1.9693892882979633,5.957504366714969,AN81
17189,17,189,Washington,2020,2,29,70.14956475348885,2.1414819105313727,-2.2932830025289648,6.576292803352725,AN81
17189,17,189,Washington,2020,3,31,134.1009855857048,8.889766479112064,4.021549848416875,13.75808270612279,AN81
17189,17,189,Washington,2020,4,30,123.43234285578161,11.308266648065471,5.379461106804131,17.237172962844042,AN81
17189,17,189,Washington,2020,5,31,154.09349681719368,17.400689286774764,12.564396326802102,22.23708369406971,AN81
17189,17,189,Washington,2020,6,30,102.4937441208449,24.31115611844765,18.64176759682784,29.980646175305562,AN81
17189,17,189,Washington,2020,7,31,165.1629282072564,26.305979154865863,21.247183869176048,31.36487407305953,AN81
17189,17,189,Washington,2020,8,31,75.50624355094902,23.590825038329605,18.14294974223296,29.03880160893358,AN81
17189,17,189,Washington,2020,9,30,27.121923669367906,19.882915567551557,13.484643799001178,26.281288816012882,AN81
17189,17,189,Washington,2020,10,31,108.39115433037848,12.624238032868757,6.340351766685246,18.908226674403377,AN81
17189,17,189,Washington,2020,11,30,141.23836106019965,9.271429321976862,3.308425035126694,15.234528204968395,AN81
17189,17,189,Washington,2020,12,31,60.16728891945358,2.0580572887706925,-3.0599158211846906,7.176827327192827,"AN81,AN91"
17189,17,189,Washington,2021,1,31,76.31159979831249,0.6087943407861809,-2.972440356504338,4.190481834772375,AN91
17189,17,189,Washington,2021,2,28,61.52496245066468,-3.5708121113254205,-8.220111133651278,1.0979909791188636,AN91
17189,17,189,Washington,2021,3,31,151.44809128063264,9.755540738317539,4.045488997953878,15.542652621543773,AN91
17189,17,189,Washington,2021,4,30,76.65623058008426,12.923741234081156,7.132799561850777,18.634412024704393,AN91
17189,17,189,Washington,2021,5,31,92.85011416500461,17.609305636541553,12.143368845741444,23.020285526205168,AN91
17189,17,189,Washington,2021,6,30,77.37833709950645,24.529345204983024,19.264392310852138,29.85121668098518,AN91
17189,17,189,Washington,2021,7,31,206.9925185012668,24.456937742370076,19.336236710556516,29.57778176437929,AN91
17189,17,189,Washington,2021,8,31,116.29518418623063,25.27563116036216,19.8641782221883,30.687225592121646,AN91
17189,17,189,Washington,2021,9,30,76.2103635870215,21.509385479474876,15.082900637529017,27.936015337112295,AN91
17189,17,189,Washington,2021,10,31,135.52312353923477,16.41167192013055,11.16951955313056,21.65396517492104,AN91
